,tweet_id,user_id,text,created_at,label,Drug Name Extracted,Drug Name Normalized,prediction,drugs_predicted
428,9.07E+17,3030604815,"Checkout pre-wedding photos of son of ‘Sharia Advocate’ and ex-governor, Senator Sani Yerima https://t.co/u5ISni0tZ5",9/11/2017 11:50,0,,,1,dv
438,6.76E+17,303929000,RT @RichSimmondsZA: Upper Gooseberry Falls by Nick Bristolhttps://t.co/tcweAIukZh https://t.co/FzNIXvBMNI,12/13/2015 16:28,0,,,1,nix
449,9.07E+17,166986355,@saneashouses @SMHoenig I thought it was the safer bet vs singulair and had asked the ent about the side effects - she waved me off (like a lot of docs lol),9/11/2017 2:21,0,,,1,singulair
464,7.95E+17,2239953450,"Win Your Best Night In worth $3,000 @thecools @pinchme @shefinds @Newser @BrightCellars @FleetWitHQ https://t.co/fTnDhVdhKv",11/5/2016 0:23,0,,,1,ella
491,8.99E+17,1510648086,"RT @TheToyInsider: A1: the pop-a-balls push &amp;a pop Bulldozer comes with FOUR balls, each a different color to teach kids their colors! #vte…",8/18/2017 15:13,0,,,1,bal
494,8.27E+17,291443457,"RT @JoelOsteen: God wants you to be an example of His goodness. So everywhere you go, you don’t have to say anything; your life is a testim…",2/1/2017 1:36,0,,,1,testim
514,6.46E+17,2761246920,Tough day? Relax. NEW Earthly Elements™ from @NaturesBounty. #Aromatherapy. Shop @Walmart http://t.co/uXTxswy2NF #AD http://t.co/bLBI6jlBRX,9/20/2015 12:30,0,,,1,rela
517,6.96E+17,531667401,RT @Funny_Truth: Bananas can reduce the swelling and irritation of mosquito bites and help with nicotine withdrawal.,2/5/2016 16:14,0,,,1,banan; nicotine
522,8.78E+17,18356346,"Visible Results, Fraction of Cost with Olay Regenerist Cream https://t.co/QSGnssV5tR By @7onashoestring https://t.co/f4CPWsRNKK",6/24/2017 1:26,0,,,1,estring
537,5.69E+17,271692483,Taylar &amp; Tavist messages is full of screenshots... They play to much 😂,2/20/2015 20:45,0,,,1,tavist
557,8.86E+17,2473645443,"I want a baby, but I want cake more. Oh and crisps, coke and take aways #jeremykyle Boofuckinghoo. Going to hang the washing out 🙄",7/14/2017 9:15,0,,,1,sps
597,8.42E+17,524780823,RT @saarr_notsorr: @hAMBERgerx try nutrogena acne wash for redness oil free - is a green bottle! Helps my redness so much!!,3/16/2017 1:25,0,,,1,ogen
631,3.18E+17,109817920,"RT @GE0RGEGARRETT: the herbal essences advert is so dirty, i actually thought someone was having an orgasm before i looked at the tv",3/31/2013 21:21,0,,,1,bal; dv
634,8.29E+17,277466861,RT @epilepsymidwife: All prescribers have duty to provide accurate info re potential risk associated with epilepsy &amp; it's treatment https:/…,2/8/2017 10:09,0,,,1,ovide
640,8.73E+17,4764786272,What you need to know about the link between Vitamin D &amp; psoriatic arthritis https://t.co/L2EO3t6i8D,6/7/2017 21:22,0,,,1,vitamin d
646,5.09E+17,268556840,"Good luck today, and keep the streak going!! @biavelez7 @BethanyHan @tteach12 @cam_daniels11 @mikamooner @srhenley13 @fhockeyfan124 @JRosy20",9/7/2014 12:44,0,,,1,today
664,9.00E+17,260066978,"Lyrica, nobody wants A1.... #LHHH",8/22/2017 0:38,0,,,1,lyrica
666,7.00E+17,20009913,I'm exhausted &amp; migrainey but sleeping isn't helping. I napped while Fenris did today but I'm still wiped.,2/17/2016 2:30,0,,,1,today
670,8.30E+17,2218769562,"I liked a @YouTube video from @azaeproduction https://t.co/hKteLAqF2O Montana Of 300 x TO3 x $avage x No Fatigue ""FGE CYPHER Pt 3""",2/10/2017 4:04,0,,,1,avage
671,8.69E+17,61371669,@Melinatedbeauty @MsNaturallyNOLA Works wonders. Adding a lil clove to that can also help tremendously to numb the gums. Works well for my 9 mo!,5/30/2017 1:49,0,,,1,emend
683,6.84E+17,457737240,"@brodyburk @DougLesmerises @BillLandis25 We're forgetting about Jalyn Holmes as well. A lot of pure, young talent.",1/3/2016 20:08,0,,,1,jalyn
698,7.45E+17,2212865252,"""Good to know.."" She winks back.  https://t.co/Z928naVc2B",6/20/2016 18:21,0,,,1,avc
738,9.03E+17,128585431,Guest Review: Remedial Rocket Science by Susanna Nix https://t.co/4OMrLX6MLU https://t.co/E4JWvZVycq,8/31/2017 7:02,0,,,1,dial; nix
739,8.54E+17,618777850,RT @Advil: @ESPNAssignDesk after the witch hunt ESPN led against tom brady? absolutely the fuck not. in fact block me right now. go fuck yo…,4/18/2017 4:57,0,,,1,advil; dv
741,9.00E+17,116509330,RT @Reuters: McDonald's to start cutting global antibiotic use in chickens https://t.co/qZ9KszkfC6,8/23/2017 16:45,0,,,1,bal
742,8.13E+17,615869763,Anyone know if Walmart or Meijers is open today? Need to buy some storage containers🙄,12/25/2016 17:57,0,,,1,today; tora
754,9.06E+17,262150893,NigeriaNewsdesk: Court rules DSS can now detain suspects for 45 days https://t.co/emQQXz6ZWJ via todayng,9/8/2017 14:16,0,,,1,today
771,8.47E+17,30291797,RT @Teylore: Wow RT @Advil: GUESS WHAT TOMORROWS DATE IS Y'ALL. https://t.co/G4pP3gBNLY,3/28/2017 1:22,0,,,1,advil; dv
772,9.04E+17,7493052,"RT @rich_bigga: Your WCW believes a dua will correct an imbalance of serotonin, norepinephrine and dopamine.Please don't be this WCW peri…",9/3/2017 1:22,0,,,1,bal; epinephrine; pamine
783,8.03E+17,2691812864,RT @chaewonho: I can't believe last night I was on buzzfeed and today I'm on allkpop what the fuSKX LMAO IM https://t.co/TDWiT9E3E4,11/27/2016 2:33,0,,,1,today
806,7.26E+17,85547291,The Plague of Small Presence Syndrome (SPS) https://t.co/KsCqQn0Bho via @HuffPostUKTech https://t.co/chnlVJSsUl,4/29/2016 18:30,0,,,1,sps
807,8.05E+17,19498212,RT @MITGameLab: Upcoming Event: Global Game Jam 2017 at MIT - The Global Game Jam (GGJ) is the world’s largest game jam event t... https://…,12/3/2016 1:14,0,,,1,bal
815,8.16E+17,58738054,Man dies after falling during Sutton Valence pram race https://t.co/DxH5Yz436a #uk,1/3/2017 9:54,0,,,1,alli
830,8.10E+17,756347766,Pussy put his ass to sleep now he calling me NyQuil 😴,12/16/2016 0:50,0,,,1,alli
862,8.42E+17,47617390,"@boreallady Instead of Vitamin A while TTC, get a peptide serum. I recently ordered The Ordinary's Buffet to try.",3/14/2017 5:03,0,,,1,vitamin a
864,8.46E+17,2815383890,@dyphenhydramine SAME,3/26/2017 8:19,0,,,1,hydramine
865,8.27E+17,2399018406,RT @1CynicalCyborg: Tell Neutrogena to stop all animal testing - Sign the Petition! https://t.co/rUZcSCaVNV via @Change,2/1/2017 14:07,0,,,1,ogen
877,8.57E+17,8.45E+17,Searching for the Extraordinary in The Ordinary Advanced Retinoid 2% and Cold-Pressed Rose Hip Seed oil https://t.co/2uDSGTLBTR,4/27/2017 3:12,0,,,1,dv
883,8.65E+17,360184460,RT @JanineHuldie: When Your Child is Sick Medical Grants 4 Families in Need from United Healthcare Children’s Foundation https://t.co/Euwhc…,5/18/2017 16:37,0,,,1,mili
894,4.26E+17,366265422,@Jen_Smith88 @AaronPaulNorris this sounds awfully familiar! #coathangerphobia?,1/21/2014 18:34,0,,,1,mili
898,9.01E+17,40777000,"RT @BuzzFeedNews: BREAKING: BuzzFeed News has confirmed Sebastian Gorka, an adviser to President Trump, has resigned https://t.co/nklmytI2XI",8/26/2017 0:46,0,,,1,dv; onfi
900,8.58E+17,1479984542,"I just bought: 'SPT 8,000BTU Single Hose Portable AC' by SPT via @amazonThis just took a large chunk of my balance https://t.co/1L7Z3kBKZz",4/27/2017 20:39,0,,,1,bal
905,7.80E+17,622951828,Funny some people are Saying Opana is bigger than Johnny... Lol,9/26/2016 17:45,0,,,1,opana
908,9.00E+17,356603010,i'm gonna need copious amounts of drugs after today,8/22/2017 22:52,0,,,1,today
909,8.72E+17,195891854,"@simplyfancy_ Chemically speaking the difference is small, but the extra methyl group in methamphetamine makes a big difference. + meth has more chemical",6/7/2017 15:27,0,,,1,tham
933,8.28E+17,1474958551,"""Your love is like Methamphetamine for as many nights I felt insane. I've learned it numbs the pain""-Bee🖤 https://t.co/dI2d052KtF",2/5/2017 1:23,0,,,1,tham
941,7.60E+17,456323203,I entered to #win a relaxing spa retreat for 2 in @BoironUSA #SoothingSummer #Calendula #Sweeps. https://t.co/4sB2l91vcs,7/31/2016 11:07,0,,,1,rela
960,5.20E+17,137372432,#Hormones-Get rid of hormone imbalances using specific homeopathic protocols taught here.-#joettecalabrese http://t.co/YVpv1JoGIJ,10/7/2014 20:45,0,,,1,bal
